"StediId","PrimaryPayerId","DisplayName","Names","Aliases","EligibilityInquiry","EligibilityInquiryEnrollmentRequired","EligibilityInquiryEnrollmentType","EligibilityInquiryEnrollmentTimeframe","ClaimStatusInquiry","ClaimStatusInquiryEnrollmentRequired","ClaimStatusInquiryEnrollmentType","ClaimStatusInquiryEnrollmentTimeframe","ProfessionalClaim","ProfessionalClaimEnrollmentRequired","ProfessionalClaimEnrollmentType","ProfessionalClaimEnrollmentTimeframe","InstitutionalClaim","InstitutionalClaimEnrollmentRequired","InstitutionalClaimEnrollmentType","InstitutionalClaimEnrollmentTimeframe","DentalClaim","DentalClaimEnrollmentRequired","DentalClaimEnrollmentType","DentalClaimEnrollmentTimeframe","ClaimPaymentAdvice","ClaimPaymentAdviceEnrollmentRequired","ClaimPaymentEnrollmentType","ClaimPaymentEnrollmentTimeframe","CoordinationOfBenefits","CoordinationOfBenefitsEnrollmentRequired","CoordinationOfBenefitsEnrollmentType","CoordinationOfBenefitsEnrollmentTimeframe","ClaimAttachmentsSupport","ClaimAttachmentsSupportEnrollmentRequired","ClaimAttachmentEnrollmentType","ClaimAttachmentEnrollmentTimeframe","EmployerIdentificationNumbers","CoverageTypes","OperatingStates","PtanRequired","ParentPayerGroupId","WebsiteUrl"
"SPWHX","32002","BC Michigan Complete","Blue Cross Blue Shield Michigan Dental|Blue Cross Blue Shield of Michigan|Blue Cross Blue Shield of Michigan Complete","00464|32002|38206|382069753|46090|5096|7409|BCCMI|BCMID","true","false","","","true","false","","","true","false","","","true","false","","","true","false","","","true","true","ONE_CLICK","DAYS","false","false","","","true","false","","","","dental|medical","","false","AWOCR",""
"SPXWK","AMM21","County of Fresno","","AMM21","false","false","","","false","false","","","true","false","","","true","false","","","false","false","","","false","false","","","false","false","","","false","false","","","","medical","","false","",""
"SQHBW","40025","Innovation Health","Aetna|Innovation Health Plan, Inc.","40025","true","false","","","true","false","","","true","false","","","true","false","","","false","false","","","true","true","MULTI_STEP","","false","false","","","false","false","","","","dental|medical","MD|VA|DC","false","IWQUE","https://www.innovationhealth.com"
"SQJIW","10407","Vytra","","10407","true","false","","","false","false","","","false","false","","","false","false","","","false","false","","","false","false","","","false","false","","","false","false","","","","","","false","",""
"SQOMH","J1063","EnviroSource","","J1063","false","false","","","false","false","","","true","false","","","true","false","","","false","false","","","true","true","ONE_CLICK","","false","false","","","false","false","","","","medical","","false","",""
"SQRGD","MBAM1","Premier Access Inc","Merchant Benefit Administration","MBAAZ|MBAM1","false","false","","","false","false","","","true","false","","","true","false","","","false","false","","","true","true","","","false","false","","","false","false","","","","medical","","false","",""
"SRICT","55204","Highmark Western and Northeastern New York","HealthNow Commercial|HealthNow New York Incorporated|Highmark Blue Cross Blue Shield (New York) - Commercial and Medicare Advantage|Highmark Blue Shield (New York) - Commercial and Medicare Advantage|Highmark Blue Shield of Northeastern New York|Highmark Western and Northeastern New York","10500|3536|55204|7485|HLTNOW|Z1093","true","false","","","true","false","","","true","true","","","true","true","","","false","false","","","true","true","ONE_CLICK","DAYS","false","false","","","false","false","","","","dental|medical","NY","false","","http://www.healthnowny.com"
"SRIZO","06102","Medicare Illinois Part B","Wisconsin Physicians Service (WPS) - Illinois","06102|1437|2224|4971|5506|ILMCR|JSMIL0|SMIL0","true","true","ONE_CLICK","HOURS","true","false","","","true","true","","","true","true","","","false","false","","","true","true","MULTI_STEP","WEEKS","false","false","","","false","false","","","","dental|medical","","true","",""
"SRKAW","J1519","Garden Grove Unified School District","","J1519","false","false","","","false","false","","","true","false","","","true","false","","","false","false","","","true","true","ONE_CLICK","","false","false","","","false","false","","","","medical","","false","",""
"SRKHL","22945","Texas Mutual Insurance","","22945","false","false","","","false","false","","","true","false","","","true","false","","","false","false","","","true","true","ONE_CLICK","","false","false","","","false","false","","","","medical","","false","",""
"STGBW","J1658","Saint Louis County","Saint Louis County Minnesota","J1658","false","false","","","false","false","","","true","false","","","true","false","","","false","false","","","true","true","ONE_CLICK","","false","false","","","false","false","","","","medical","","false","",""
"STIKE","13162","1199 National Benefit Fund","","1199NB|13162|4551|5405","false","false","","","false","false","","","true","false","","","true","false","","","false","false","","","true","true","MULTI_STEP","HOURS","false","false","","","false","false","","","","dental|medical","","false","",""
"STKEK","53226","Penn Behavioral Health","","1112|53226","false","false","","","false","false","","","true","false","","","true","false","","","false","false","","","false","false","","","false","false","","","false","false","","","","medical","","false","",""
"STNDE","J1447","Amerisafe Risk Services Incorporated","","J1447","false","false","","","false","false","","","true","false","","","true","false","","","false","false","","","true","true","ONE_CLICK","","false","false","","","false","false","","","","medical","","false","",""
"STQRY","J1589","Allmerica Financial Benefits Insurance Company","","J1589","false","false","","","false","false","","","true","false","","","true","false","","","false","false","","","true","true","ONE_CLICK","","false","false","","","false","false","","","","medical","","false","",""
"STSUA","75190","NCAS Fairfax Virginia","CareFirst Administrators/NCAS - Fairfax, VA","1730|2914|75190|CFSAD|NCAS","true","false","","","false","false","","","true","false","","","true","false","","","false","false","","","true","true","","","false","false","","","false","false","","","","medical","","false","",""
